Name;Identity;Birth place;Publisher;Height;Weight;Gender;First appearance;Eye color;Hair color;Strength;Intelligence
A-Bomb;Richard Milhouse Jones;Scarsdale, Arizona;Marvel Comics;203.21000000000001;441.94999999999999;M;2008;Yellow;No Hair;100;moderate
Abraxas;Abraxas;Within Eternity ;Marvel Comics;;;M;;Blue;Black;100;high
Abomination;Emil Blonsky;Zagreb, Yugoslavia;Marvel Comics;203.03999999999999;441.98000000000002;M;;Green;No Hair;80;good
Adam Monroe;;;NBC - Heroes;;;M;;Blue;Blond;10;good
Agent 13;Sharon Carter;;Marvel Comics;173.41;61.030000000000001;F;;Blue;Blond;;
Air-Walker;Gabriel Lan;Xandar, a planet in the Tranta system, Andromeda galaxy;Marvel Comics;188.59;108.23;M;;Blue;White;85;average
Agent Bob;Bob;;Marvel Comics;178.25;81.450000000000003;M;2007;Brown;Brown;10;low
Abe Sapien;Abraham Sapien;;Dark Horse Comics;191.24000000000001;65.349999999999994;M;1993;Blue;No Hair;30;high
Abin Sur;;Ungara;DC Comics;185.52000000000001;90.900000000000006;M;1959;Blue;No Hair;90;average
Angela;;;Image Comics;;;F;;;;100;high
Animal Man;Bernhard Baker;;DC Comics;183.80000000000001;83.390000000000001;M;1965;Blue;Blond;50;average
Agent Zero;Christoph Nord;Unrevealed location in former East Germany ;Marvel Comics;191.28999999999999;104.17;M;;;;30;good
Colin Wagner;;;HarperCollins;;;M;;Grey;Brown;;
Angel Dust;Christina;;Marvel Comics;165.78;57.210000000000001;F;;Yellow;Black;55;moderate
Angel Salvadore;Angel Salvadore Bohusk;;Marvel Comics;163.56999999999999;54.670000000000002;F;2001;Brown;Black;10;moderate
Zoom;Hunter Zolomon;;DC Comics;185.90000000000001;81.930000000000007;M;;Red;Brown;10;average
Lady Deathstrike;Yuriko Oyama;Osaka, Japan;Marvel Comics;175.84999999999999;58.890000000000001;F;1985;Brown;Black;30;good
Yoda;Yoda;;George Lucas;66.290000000000006;17.010000000000002;M;1980;Brown;White;55;high
Zatanna;Zatanna Zatara;;DC Comics;170.28999999999999;57.770000000000003;F;;Blue;Black;10;high
Yellowjacket II;Rita DeMara;;Marvel Comics;165.58000000000001;52.359999999999999;F;;Blue;Strawberry Blond;10;average
Yellowjacket;Hank Pym;Elmsford, New York;Marvel Comics;183.03;83.709999999999994;M;;Blue;Blond;10;high
Yellow Claw;;Somewhere in mainland China;Marvel Comics;188.40000000000001;95.090000000000003;M;;Blue;No Hair;;
Absorbing Man;Carl Creel;New York City, New York;Marvel Comics;193.36000000000001;122.28;M;1964;Blue;No Hair;80;moderate
X-Man;Nate Grey;American Northeast of Earth-295 ;Marvel Comics;175.81999999999999;61.799999999999997;M;1995;Blue;Brown;55;high
X-23;Laura Kinney;The Facility, location unrevealed ;Marvel Comics;155.61000000000001;50.390000000000001;F;;Green;Black;25;good
Wondra;;;Marvel Comics;;;F;;;;;
Adam Strange;Adam Strange;Chicago, Illinois;DC Comics;185.09999999999999;88.920000000000002;M;1986;Blue;Blond;10;good
Wonder Girl;Cassandra Elizabeth Sandsmark;;DC Comics;165.74000000000001;51.329999999999998;F;1996;Blue;Blond;90;good
Wonder Woman;Diana Prince;Themyscira;DC Comics;183.13;74.739999999999995;F;1941;Blue;Black;100;high
Wolverine;Logan;Alberta, Canada;Marvel Comics;160.69999999999999;135.21000000000001;M;;Blue;Black;35;good
Ymir;Ymir;Niffleheim;Marvel Comics;304.63;;M;;White;No Hair;100;average
Wiz Kid;Takashi Matsuya;Place of birth unknown;Marvel Comics;140.86000000000001;39.640000000000001;;;Brown;Black;;
Wolfsbane;Rahne Sinclair;Somewhere in Ross and Cromarty, Scotland;Marvel Comics;366.33999999999997;473.75999999999999;F;;Green;Auburn;20;moderate
White Queen;Emma Grace Frost;Boston, Massachusetts;Marvel Comics;178.87;65.870000000000005;F;;Blue;Blond;;
White Canary;;;DC Comics;;;F;;Brown;Black;10;good
Wyatt Wingfoot;Wyatt Wingfoot;Keewazi Reservation, Oklahoma;Marvel Comics;196.41999999999999;117.16;M;;Brown;Black;10;low
Weapon XI;Weapon XI;;Marvel Comics;;;M;;;;;
Winter Soldier;Bucky Barnes;;Marvel Comics;175.21000000000001;117.20999999999999;M;2005;Brown;Brown;35;average
Watcher;Uatu;;Marvel Comics;;;M;1963;;;80;high
Wonder Man;Simon Williams;Paterson, New Jersey;Marvel Comics;188.90000000000001;171.56999999999999;M;;Red;Black;100;good
Wasp;Janet Van Dyne;Cresskill, New Jersey;Marvel Comics;163.86000000000001;50.039999999999999;F;;Blue;Auburn;20;good
Warlock;Adam Warlock;The Beehive, Shard Island, Atlantic Ocean;Marvel Comics;188.22;108.14;M;;Red;Blond;40;high
Warbird;Carol Danvers;Boston, Massachusetts;Marvel Comics;180.56;54.75;F;;Blue;Blond;;
Wildfire;Drake Burroughs;;DC Comics;;;M;;;;35;average
Vulture;Adrian Toomes;Staten Island, New York City ;Marvel Comics;180.61000000000001;79.629999999999995;M;;Brown;No Hair;25;good
Warp;Emil LaSalle;;DC Comics;173.41999999999999;67.420000000000002;M;1981;Brown;Black;10;moderate
Warpath;James Proudstar;Camp Verde, Arizona ;Marvel Comics;218.05000000000001;158.22;M;1984;Brown;Black;75;moderate
War Machine;James Rupert Rhodes;Philadelphia, Pennsylvania ;Marvel Comics;185.00999999999999;95.930000000000007;M;1979;Brown;Brown;80;good
Vulcan;Gabriel Summers;;Marvel Comics;;;M;;Black;Black;;
Vision II;Vision;Place of birth unknown;Marvel Comics;191.38999999999999;135.50999999999999;;;Red;No Hair;;
Walrus;Hubert Carpent;Brooklyn, New York;Marvel Comics;183.69999999999999;162.03;M;1984;Blue;Black;30;average
Vision;Vision;;Marvel Comics;191.50999999999999;135.94999999999999;M;;Gold;No Hair;75;high
Violet Parr;Violet Parr;;Dark Horse Comics;137.18000000000001;41.130000000000003;F;2004;Violet;Black;10;average
Violator;;;Image Comics;;;M;;;;65;average
Vertigo II;;The Savage Land;Marvel Comics;168.94;52.799999999999997;F;;Blue;Silver;;
Venompool;Wade Wilson;;Marvel Comics;226.84;;M;2011;;;60;good
Venom III;MacDonald Gargan;;Marvel Comics;229.38999999999999;334.69999999999999;M;2005;Brown;Brown;75;good
Vindicator;Dr. James McDonald Hudson;;Marvel Comics;;;M;;;;;
Venom II;Angelo Fortunato;;Marvel Comics;175.06999999999999;50.759999999999998;M;2005;Brown;Black;60;average
Venom;Eddie Brock;New York, New York;Marvel Comics;191.34999999999999;117.61;M;;Blue;Strawberry Blond;60;good
Vegeta;Vegeta;;Shueisha;168.94;73.239999999999995;M;;;Black;100;high
Vixen;Mari McCabe;Zambesi;DC Comics;175.71000000000001;63.57;F;1981;Amber;Black;40;average
Valkyrie;Brunnhilde (also spelled Brunnhilda);Presumably Asgard;Marvel Comics;191.63;214.66999999999999;F;;Blue;Blond;95;high
Valerie Hart;;East Coast, Canada;Team Epic TV;175.80000000000001;56.670000000000002;F;;Hazel;Black;;
Vanisher;;Boston, Massachusetts ;Marvel Comics;165.83000000000001;79.450000000000003;M;;Green;No Hair;10;good
Vagabond;Priscilla Lyons;;Marvel Comics;169.0;54.619999999999997;F;;Blue;Strawberry Blond;;
Utgard-Loki;;Jotunheim;Marvel Comics;15.34;58.859999999999999;M;;Blue;White;80;average
Ultron;Ultron;Created in Cresskill, New Jersey;Marvel Comics;206.90000000000001;331.61000000000001;M;1968;Red;;85;high
Triton;Triton;Island of Attilan, Atlantic Ocean;Marvel Comics;188.34999999999999;86.829999999999998;M;1965;Green;No Hair;65;average
Two-Face;Harvey Dent;;DC Comics;183.12;82.870000000000005;M;;;;10;high
Triplicate Girl;Luornu Durgo;;DC Comics;168.97;59.829999999999998;F;;Purple;Brown;10;good
Trigon;;;DC Comics;;;M;1981;Yellow;Black;100;high
Ultragirl;Tsu-Zana;;Marvel Comics;168.27000000000001;105.90000000000001;F;;Blue;Blond;80;average
Tracy Strauss;Tracy Strauss;Beverly Hills, CA;NBC - Heroes;;;F;;;;;
